ΧΤΕΝΕΣ,0.35
ΤΣΙΜΠΙΔΑΚΙΑ,2
DRUM,0.18
COLGATE ΟΔΟΝΤΟΒΟΥΡΤΣΑ,1.1
COLGATE ΟΔΟΝΤΟΚΡΕΜΑ,1.8
HANSAPLAST,1
ΜΑΣΚΕΣ,0.1
HANKIES ΜΑΝΤΗΛΑΚΙΑ,0.4
ΝΥΧΟΚΟΠΤΕΣ ΜΙΚΡΟΙ,0.75
ΝΥΧΟΚΟΠΤΕΣ ΜΕΓΑΛΟΙ,0.85
ZEWA ΧΑΡΤΟΜΑΝΤΗΛΑ,0.2
DEPON ΑΝΑΒΡΑΖΟΝ,2.2
DEPON ΑΝΑΒΡΑΖΟΝ MAXIMUM,3.2
DEPON ΧΑΠΙ,2.1
ΟΜΠΡΕΛΕΣ,1.9
TRIDENT 60 ΜΠΛΕ,0.8
TRIDENT 60 ΠΡΑΣΙΝΗ,0.8 
TRIDENT ΠΡΑΣΙΝΗ FROST,0.8
TRIDENT ΚΟΥΤΑΚΙ ΔΙΑΦΟΡΕΣ,0.8
TRIDENT ΚΟΥΤΑΚΙ ΜΟΒ ΛΕΜΟΝΙ,0.8
TRIDENT ΚΟΥΤΑΚΙ ΚΑΡΠΟΥΖΙ,0.8
TRIDENT ΚΟΥΤΑΚΙ ΡΟΖ,0.8
TRIDENT ΚΟΥΤΑΚΙ BUBBLE ΡΟΖ,0.8
TRIDENT SPLASH ΔΙΑΦΟΡΕΣ,0.8
TRIDENT SPLASH ΠΡΑΣΙΝΗ,0.8
TRIDENT SPLASH ΚΡΕΜ,0.8 
TRIDENT SPLASH ΚΟΚΚΙΝΗ,0.8
TRIDENT WHITE ΠΡΑΣΙΝΗ,0.8
TRIDENT SENSES ΔΙΑΦΟΡΕΣ,0.8
TRIDENT SENSES ΚΑΡΠΟΥΖΙ,0.8
TRIDENT SENSES ΠΡΑΣΙΝΗ,0.8
TRIDENT SENSES ΦΡΑΟΥΛΑ,0.8
TRIDENT SENSES TROPICAL,0.8
TRIDENT SENSES BUBBLE ΡΟΖ,0.8
TRIDENT SENSES ΜΕΝΤΑ ΚΑΝΕΛΑ,0.8
SENSES MAX ΔΙΑΦΟΡΕΣ,0.8
SENSES MAX ΠΡΑΣΙΝΗ,0.8
SENSES MAX ΜΠΛΕ,0.8
SENSES MAX ΒΑΤΟΜΟΥΡΟ,0.8
SENSES MAX ΡΟΔΑΚΙΝΟ,0.8
TRIDENT ORAL-B ΠΡΑΣΙΝΗ,0.8
TRIDENT ORAL-B ΜΠΛΕ,0.8
NATURA ΑΝΤΙΣΗΠΤΙΚΟ,3
HEARTS ΑΝΤΙΣΗΠΤΙΚΟ,1
MENTOS 45 ΜΠΛΕ,0.8
MENTOS 45 ΠΡΑΣΙΝΗ,0.8
MENTOS ΠΛΑΚΕ ΠΡΑΣΙΝΗ,0.8
MENTOS ΠΛΑΚΕ ΜΠΛΕ,0.8
MENTOS ΣΩΛΗΝΑ ΜΠΛΕ,0.55
MENTOS ΣΩΛΗΝΑ ΦΡΟΥΤΑ,0.55
MENTOS ΣΩΛΗΝΑ ΠΟΡΤΟΚΑΛΑΔΑ,0.55
MENTOS STORMING ΔΙΑΦΟΡΕΣ,0.8
MENTOS STORMING ΠΡΑΣΙΝΗ,0.8
MENTOS STORMING ΜΠΛΕ,0.8
MENTOS STORMING ΡΟΖ,0.8
MENTOS STORMING ΚΟΚΚΙΝΗ,0.8
MENTOS STORMING ΚΑΡΠΟΥΖΙ,0.8
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΔΙΑΦΟΡΕΣ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΠΡΑΣΙΝΗ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΜΠΛΕ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΚΙΤΡΙΝΗ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΚΟΚΚΙΝΗ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΡΟΖ,0.98
MENTOS ΜΠΟΥΚΑΛΑΚΙ ΚΑΡΠΟΥΖΙ,0.98
MENTOS PURE ΔΙΑΦΟΡΕΣ,0.8
MENTOS PURE ΠΡΑΣΙΝΗ,0.8
MENTOS PURE ΜΠΛΕ,0.8
MENTOS PURE ΛΑΧΑΝΙ,0.8
MENTOS PURE ΡΟΖ,0.8
MENTOS PURE ΚΟΚΚΙΝΗ,0.8
MENTOS PURE ΚΕΡΑΣΙ,0.8
DUO ΠΡΟΦΥΛΑΚΤΙΚΑ,1.35
DUO ΚΙΤΡΙΝΑ,1.35
DUO ΜΟΒ,1.35
DUO ΜΠΛΕ,1.35
DUO ΠΡΑΣΙΝΑ,1.35
DUO ΚΟΚΚΙΝΑ,1.35
DUREX ΠΡΟΦΥΛΑΚΤΙΚΑ,1.25
DUREX LOVE,1.25
DUREX CLASSIC,1.25
DUREX JEANS,1.25
DUREX SENSITIVE,1.25
DUREX ΡΟΖ,1.25
STOP ΠΡΟΦΥΛΑΚΤΙΚΑ,1
AGAIN ΠΡΟΦΥΛΑΚΤΙΚΑ ΡΟΖ,1.15
AGAIN ΠΡΟΦΥΛΑΚΤΙΚΑ ΜΠΛΕ,1.15
ΑΝΑΠΤΗΡΑΣ CRICKET,0.35
ΑΝΑΠΤΗΡΑΣ BIC ΜΙΚΡΟΣ,0.55
ΑΝΑΠΤΗΡΑΣ BIC ΜΕΓΑΛΟΣ,0.65
ΑΝΑΠΤΗΡΑΣ ΒΑΡΕΛΑΚΙ,1.1
ΑΝΑΠΤΗΡΑΣ CLIPPER,0.45
ΑΝΑΠΤΗΡΑΣ ΣΧΕΔΙΑ,0.35
